Phrase,Label
material live dream,metaphor
unemployment stand none,metaphor
icy glare,metaphor
daughter marry man,NOT metaphor
cloudy weather,NOT metaphor
sweet smile,metaphor
black dress,NOT metaphor
child live none,NOT metaphor
solution marry idea,metaphor
data point pain,metaphor
short walk,NOT metaphor
blind man,NOT metaphor
conversation turn subject,metaphor
horse run none,NOT metaphor
shrill voice,NOT metaphor
protester demand none,NOT metaphor
opponent attack credibility,metaphor
pronoun hand key,NOT metaphor
gold coin,NOT metaphor
none clean stain,NOT metaphor
bundestag lift ban,metaphor
weak password,metaphor
sour cherry,NOT metaphor
man sweep floor,NOT metaphor
dark laughter,metaphor
midwesterner spread wealth,metaphor
none spread glue,NOT metaphor
adventure feed imagination,metaphor
passenger travel none,NOT metaphor
cool feature,metaphor
society wake none,metaphor
broad shoulder,NOT metaphor
pronoun land internship,metaphor
muddy puddle,NOT metaphor
court hand victory,metaphor
woolly mammoth,NOT metaphor
murkowski push legislation,metaphor
electorate swing none,metaphor
bride dream none,NOT metaphor
angry protester,NOT metaphor
stomach hurt none,NOT metaphor
pharmacist lean none,NOT metaphor
rich businessman,NOT metaphor
cat sit none,NOT metaphor
pronoun catch flight,metaphor
pronoun kick addiction,metaphor
none knock confidence,metaphor
frosty morning,NOT metaphor
dean slip knife,NOT metaphor
plane fly none,NOT metaphor
breezy veranda,NOT metaphor
windy night,NOT metaphor
father die none,NOT metaphor
workman dig pond,NOT metaphor
firm conviction,metaphor
fat call,NOT metaphor
hawaii kill  proposal,metaphor
clump nod none,metaphor
insurance cover care,metaphor
apple roll commercial,metaphor
bus arrive none,NOT metaphor
pronoun wear helmet,NOT metaphor
green vegetable,NOT metaphor
rocky beginning,metaphor
firework burst none,NOT metaphor
fish jump none,NOT metaphor
woman suffer pain,NOT metaphor
column rise none,NOT metaphor
person step none,NOT metaphor
change shake confidence,metaphor
ladder touch ground,NOT metaphor
solution stare face,metaphor
mad sprint,metaphor
shiny goal,metaphor
pure cotton,NOT metaphor
hollow mockery,metaphor
camel drink water,NOT metaphor
thin excuse,metaphor
green energy,metaphor
dirty diaper,NOT metaphor
filthy mind,metaphor
excitement fill street,metaphor
romney sweep primary,metaphor
pronoun walk document,metaphor
steep discount,metaphor
horse pull head,NOT metaphor
old boy,metaphor
white anger,metaphor
landlord refuse none,NOT metaphor
engineer steal secret,NOT metaphor
rosy outlook,metaphor
framework bury initiative,metaphor
person stare stone,NOT metaphor
red alert,metaphor
life rush none,metaphor
stale bread,NOT metaphor
fiery crash,NOT metaphor
congress sleep none,metaphor
none feed cow,NOT metaphor
soft leather,NOT metaphor
sick joke,metaphor
small town,NOT metaphor
shaky ceasefire,metaphor
cult dig activity,metaphor
pronoun fight hunger,metaphor
stranger approach pronoun,NOT metaphor
fortune smile pronoun,metaphor
rocky terrain,NOT metaphor
man go city,NOT metaphor
pirate attack ship,NOT metaphor
battle tear party,metaphor
lebanese throw rock,NOT metaphor
state lean republican,metaphor
empty can,NOT metaphor
pronoun fill bottle,NOT metaphor
computer slip coma,metaphor
none shut brain,metaphor
none clean government,metaphor
pronoun cut grass,NOT metaphor
visitor enter room,NOT metaphor
professional stretch truth,metaphor
object move none,NOT metaphor
none lean head,NOT metaphor
blunder escape notice,metaphor
tight pant,NOT metaphor
deep understanding,metaphor
silky voice,metaphor
dead animal,NOT metaphor
product hit market,metaphor
good idea,NOT metaphor
shark swim none,NOT metaphor
car complain none,metaphor
statement sit none,metaphor
shady tactics,metaphor
bare outline,metaphor
beth stick tongue,NOT metaphor
student raise hand,NOT metaphor
pronoun tie ribbon,NOT metaphor
leaf fall none,NOT metaphor
hairy armpit,NOT metaphor
smoky alto,metaphor
pronoun climb stairs,NOT metaphor
dumb student,NOT metaphor
large group,NOT metaphor
smooth surface,NOT metaphor
hard plastic,NOT metaphor
thunder wake pronoun,NOT metaphor
prisoner escape jail,NOT metaphor
thin layer,NOT metaphor
slim waist,NOT metaphor
clean air,NOT metaphor
smoke arise none,NOT metaphor
pronoun bring food,NOT metaphor
raw emotion,metaphor
rosy cheek,NOT metaphor
paint dry none,NOT metaphor
marriage survive problem,metaphor
huge number,NOT metaphor
greasy burger,NOT metaphor
shrill rhetoric,metaphor
heavy tax,metaphor
sunny disposition,metaphor
purple prose,metaphor
judge decide none,NOT metaphor
frank stretch arm,NOT metaphor
empty promise,metaphor
competition drop price,metaphor
crowd scream none,NOT metaphor
envy eat none,metaphor
cold weather,NOT metaphor
spicy language,metaphor
rumor fly none,metaphor
century see development,metaphor
class slide poverty,metaphor
pronoun press advantage,metaphor
couple lay wreath,NOT metaphor
dry wit,metaphor
shallow argument,metaphor
bridge collapse none,NOT metaphor
tall tale,metaphor
muddy thinking,metaphor
sparse vegetation,NOT metaphor
economy shrug impact,metaphor
mad man,NOT metaphor
bicycle suffer damage,metaphor
icy road,NOT metaphor
person love none,NOT metaphor
lame beggar,NOT metaphor
heavy fighting,metaphor
money walk none,metaphor
smoky flavor,NOT metaphor
none attach hose,NOT metaphor
foggy brain,metaphor
submarine sink ship,NOT metaphor
none lift leg,NOT metaphor
raw meat,NOT metaphor
police close investigation,metaphor
luck love pronoun,metaphor
bolt refuse none,metaphor
deep sea,NOT metaphor
thick slice,NOT metaphor
none tie destiny,metaphor
helicopter land snow,NOT metaphor
frosty relation,metaphor
high altitude,NOT metaphor
bloody stupidity,metaphor
blunt honesty,metaphor
ship carry passenger,NOT metaphor
tame reindeer,NOT metaphor
thick accent,metaphor
thirsty camel,NOT metaphor
windy rhetoric,metaphor
doctor say none,NOT metaphor
sour mood,metaphor
pronoun shoot proposal,metaphor
stormy sea,NOT metaphor
hard truth,metaphor
pronoun grab towel,NOT metaphor
statue stand none,NOT metaphor
result steal show,metaphor
pronoun catch salmon,NOT metaphor
texan break record,metaphor
smooth operation,metaphor
idea travel none,metaphor
pronoun meet girl,NOT metaphor
slim picking,metaphor
government dream regulation,metaphor
advertiser pull ad,metaphor
greasy smile,metaphor
human survive none,NOT metaphor
pronoun grow vegetables,NOT metaphor
army bury soldier,NOT metaphor
tori throw tantrum,metaphor
miranda open mouth,NOT metaphor
driver drive none,NOT metaphor
kicker kick football,NOT metaphor
reviewer complain none,NOT metaphor
volunteer welcome visitor,NOT metaphor
bernake lean congress,metaphor
rich history,metaphor
brown threat,metaphor
black humor,metaphor
stock jump none,metaphor
candle burn none,NOT metaphor
baby sleep none,NOT metaphor
honest opinion,NOT metaphor
foggy night,NOT metaphor
none blow paycheck,metaphor
clean conscience,metaphor
heart cry none,metaphor
slimy salesman,metaphor
politician talk none,NOT metaphor
wet towel,NOT metaphor
healthy balance,metaphor
iran launch satellite,NOT metaphor
teenager wear attitude,metaphor
airport swim money,metaphor
soft leadership,metaphor
economy move direction,metaphor
antena point direction,NOT metaphor
steep hill,NOT metaphor
kindness touch pronoun,metaphor
person smile none,NOT metaphor
thriller stick landing,metaphor
income fall none,metaphor
breezy disregard,metaphor
narrow mind,metaphor
cool air,NOT metaphor
ripe banana,NOT metaphor
unruly hair,metaphor
cold reality,metaphor
service meet expectation,metaphor
pronoun close deal,metaphor
car decide none,metaphor
unemployment climb none,metaphor
fuzzy blanket,NOT metaphor
dead giveaway,metaphor
silence speak volume,metaphor
state cut spending,metaphor
bloody nose,NOT metaphor
success ride service,metaphor
tame version,metaphor
juicy scandal,metaphor
stale cliché,metaphor
quiet revolution,metaphor
bald assertion,metaphor
unruly behavior,NOT metaphor
angry welt,metaphor
sunny day,NOT metaphor
drawer slide none,NOT metaphor
bubbly actress,metaphor
clear explanation,metaphor
tragedy strike community,metaphor
straight answer,metaphor
man shake head,NOT metaphor
stormy applause,metaphor
clear sky,NOT metaphor
hairy problem,metaphor
reporter rush scene,NOT metaphor
sleepy town,metaphor
creativity flow none,metaphor
immigrant settle hawaii,NOT metaphor
communism collapse none,metaphor
fuzzy logic,metaphor
son break window,NOT metaphor
lean budget,metaphor
hollow cylinder,NOT metaphor
funding dry none,metaphor
spicy sausage,NOT metaphor
old man,NOT metaphor
murky past,metaphor
electronics drive innovation,metaphor
wild speculation,metaphor
shady tree,NOT metaphor
silky satin,NOT metaphor
low tree,NOT metaphor
boy cry none,NOT metaphor
hot chocolate,NOT metaphor
warm bath,NOT metaphor
accident wait none,metaphor
association strike fancy,metaphor
slimy slug,NOT metaphor
bomber blow vehicle,NOT metaphor
pedestrian walk none,NOT metaphor
economy sail none,metaphor
shallow grave,NOT metaphor
bald eagle,NOT metaphor
firm mattress,NOT metaphor
blunt knife,NOT metaphor
man nod approval,NOT metaphor
strong bone,NOT metaphor
bright idea,metaphor
dumb luck,metaphor
dirty word,metaphor
bar support weight,NOT metaphor
rough draft,metaphor
rusty brain,metaphor
wet dream,metaphor
future hang none,metaphor
foot slip none,NOT metaphor
lava flow none,NOT metaphor
cold beer,NOT metaphor
sad sack,metaphor
head hit ground,NOT metaphor
salesman knock door,NOT metaphor
healthy body,NOT metaphor
tear roll none,NOT metaphor
tight budget,metaphor
warm reception,metaphor
pronoun eat breakfast,NOT metaphor
sick child,NOT metaphor
purple flower,NOT metaphor
jim close book,NOT metaphor
schedule slip none,metaphor
weak muscle,NOT metaphor
honest meal,metaphor
bright sunlight,NOT metaphor
fresh thinking,metaphor
dread settle none,metaphor
court attach meaning,metaphor
bubbly champagne,NOT metaphor
cloudy future,metaphor
scientist think none,NOT metaphor
shaky ladder,NOT metaphor
pride burst none,metaphor
juicy steak,NOT metaphor
bomber kill person,NOT metaphor
stony ridge,NOT metaphor
action talk none,metaphor
white sand,NOT metaphor
ill patient,NOT metaphor
headline scream none,metaphor
misha walk dog,NOT metaphor
filthy garment,NOT metaphor
ripe age,metaphor
lame excuse,metaphor
fat chance,metaphor
hot topic,metaphor
small comfort,metaphor
heavy load,NOT metaphor
young boy,NOT metaphor
rumor spread none,metaphor
temperature break number,metaphor
spending hurt economy,metaphor
circumstance demand translation,metaphor
overtime burn goodwill,metaphor
truck drink none,metaphor
person turn none,NOT metaphor
car break none,NOT metaphor
big city,NOT metaphor
straight edge,NOT metaphor
shiny silver,NOT metaphor
pronoun shrug shoulder,NOT metaphor
fiery temper,metaphor
police close road,NOT metaphor
pronoun drag suitcase,NOT metaphor
man lay blame,metaphor
sweet potato,NOT metaphor
strong presence,metaphor
brown rice,NOT metaphor
olmert grab opportunity,metaphor
patient tear cuff,NOT metaphor
battery die none,metaphor
steam push piston,NOT metaphor
cowboy ride none,NOT metaphor
thirsty sponge,metaphor
quiet voice,NOT metaphor
blind alley,metaphor
tablet steal spotlight,metaphor
stony silence,metaphor
fate step none,metaphor
woolly liberal,metaphor
depression drag market,metaphor
rough terrain,NOT metaphor
resumption bring relief,metaphor
data beat expectation,metaphor
dry skin,NOT metaphor
none beat egg,NOT metaphor
thief steal photo,NOT metaphor
pronoun wash sin,metaphor
speech sink candidacy,metaphor
young moon,metaphor
